date,ticker,open,high,low,close,adj_close,volume,target,tenmda,twentymda,fiftymda,hundredmda,EWMA_20,EWMA_50,EWMA_100,rsi,MiddleBand,UpperBand,LowerBand,sent_score
2016-01-04,TSLA,15.381333351135254,15.425333023071289,14.600000381469727,14.894000053405762,14.894000053405762,102406500,14.895333290100098,15.472600078582763,15.28433337211609,14.910360069274903,15.514326610565185,15.33192926409551,15.249512685043491,15.444295604207358,44.97218833358396,15.085100054740906,16.135752280981652,14.034447828500161,0.0
2016-01-05,TSLA,15.090666770935059,15.12600040435791,14.666666984558105,14.895333290100098,14.895333290100098,47802000,14.602666854858398,15.425733375549317,15.261166667938232,14.92597339630127,15.504499940872192,15.290348695143566,15.235623288964147,15.43341677926584,44.9916534545318,15.071200060844422,16.116673326652425,14.025726795036421,0.0
2016-01-06,TSLA,14.666666984558105,14.670000076293945,14.398667335510254,14.602666854858398,14.602666854858398,56686500,14.376667022705078,15.335600090026855,15.220866680145264,14.939240074157714,15.488853273391724,15.224855186544978,15.210801454209918,15.416953997783832,41.51965927653908,15.04900004863739,16.095642879510606,14.002357217764175,0.296
2016-01-07,TSLA,14.279333114624023,14.562666893005371,14.244667053222656,14.376667022705078,14.376667022705078,53314500,14.066666603088379,15.240266799926758,15.183966684341431,14.939760074615478,15.470519952774048,15.14407536141737,15.178090282548991,15.396339173355155,39.01581345647917,15.032866716384888,16.100893326346764,13.96484010642301,0.0
2016-01-08,TSLA,14.52400016784668,14.696000099182129,14.0513334274292,14.066666603088379,14.066666603088379,54421500,13.856666564941406,15.115600204467773,15.138899993896484,14.940626754760743,15.441193294525146,15.041465003481274,15.134505017834273,15.369990127529482,35.82447756881798,15.023700046539307,16.118788359582794,13.92861173349582,0.0
2016-01-11,TSLA,14.267333030700684,14.296667098999023,13.533332824707031,13.856666564941406,13.856666564941406,61371000,13.998000144958496,14.964133548736573,15.074833345413207,14.93381341934204,15.405946636199952,14.928627056953667,15.084393681230962,15.340002244690712,33.80712474161787,15.004983377456664,16.153686254325564,13.856280500587763,0.0
2016-01-12,TSLA,14.106666564941406,14.249333381652832,13.687333106994629,13.998000144958496,13.998000144958496,46378500,13.354000091552734,14.837600231170654,15.051333332061768,14.931600074768067,15.375759973526002,14.839995922477936,15.04178999294534,15.313409622882203,36.402801739940664,15.000033378601074,16.164634536471144,13.835432220731004,0.0
2016-01-13,TSLA,14.133999824523926,14.176667213439941,13.333333015441895,13.354000091552734,13.354000091552734,61896000,13.745332717895508,14.59173355102539,14.990433359146119,14.922773418426514,15.34784665107727,14.698472510008868,14.975602123528788,15.274583211778738,30.528342954642653,14.988566708564758,16.20883198594406,13.768301431185456,0.0
2016-01-14,TSLA,13.480667114257812,14.0,12.892000198364258,13.745332717895508,13.745332717895508,97360500,13.666000366210938,14.379000091552735,14.940733337402344,14.912626724243164,15.331453304290772,14.607697291712356,14.927356243371776,15.244280963672997,37.16403437487254,14.975016713142395,16.238498631027863,13.711534795256927,0.0
2016-01-15,TSLA,13.264666557312012,13.671333312988281,13.149999618530273,13.666000366210938,13.666000366210938,83679000,13.64799976348877,14.14553337097168,14.842333364486695,14.908146724700927,15.322199974060059,14.51801187023603,14.877891286215352,15.213007589501272,36.404885166139856,14.960000038146973,16.271390527700397,13.648609548593546,0.0
